trade_id,signal_type,is_long,is_trend,signal_bar,signal_ts,entry_bar,entry_ts,entry_price,sl,tp,stop_dist,atr_at_entry,exit_bar,exit_ts,exit_price,exit_reason,trail_stage,bars_held,real_pl
55,Trend Long,True,True,1867,1723152600000,1868,1723154400000,61170.44,60835.248691299275,62511.205234802925,335.19130870073053,558.6521811678842,1868,1723154400000,60835.248691299275,SL,0,0,-365.77652870072694
56,Trend Long,True,True,1869,1723156200000,1870,1723158000000,62332.0,61947.45985117131,63870.16059531477,384.54014882869103,640.9002480478184,1870,1723158000000,61947.45985117131,SL,0,0,-415.70614882868796
57,Trend Short,False,True,2033,1723451400000,2034,1723453200000,58317.43,58578.76256452866,57272.09974188535,261.33256452866266,435.5542742144378,2034,1723453200000,58578.76256452866,SL,0,0,-290.49127952866047
58,Trend Short,False,True,2043,1723469400000,2044,1723471200000,58157.55,58476.65639350063,56881.12442599751,319.1063935006238,531.8439891677064,2044,1723471200000,58476.65639350063,SL,0,0,-348.1851685006241
59,Range Short,False,False,2097,1723566600000,2098,1723568400000,61157.6,61394.918733842074,60564.30316539481,237.31873384207353,474.63746768414705,2098,1723568400000,61394.918733842074,SL,0,0,-267.89753384207575
60,Trend Long,True,True,2136,1723636800000,2137,1723638600000,61699.99,61523.67211529308,62405.261538827675,176.3178847069189,293.8631411781982,2137,1723638600000,61523.67211529308,SL,0,0,-207.16787970692118
61,Trend Short,False,True,2163,1723685400000,2164,1723687200000,58204.93,58428.04019833456,57312.48920666177,223.1101983345588,371.850330557598,2164,1723687200000,58428.04019833456,SL,0,0,-252.21266333455793
62,Trend Short,False,True,2172,1723701600000,2173,1723703400000,58101.99,58310.65398909186,57267.33404363256,208.66398909185884,347.77331515309805,2174,1723705200000,58101.44,SL,1,1,-28.500995000004366
63,Trend Short,False,True,2195,1723743000000,2196,1723744800000,58875.1,59114.62805156713,57916.98779373147,239.52805156713347,399.2134192785558,2196,1723744800000,57916.98779373147,TP,0,0,928.6746562685317
64,Trend Short,False,True,2198,1723748400000,2199,1723750200000,56970.49,57278.18247933418,55739.720082663276,307.69247933418114,512.820798890302,2200,1723752000000,57046.34,SL,0,1,-104.33524499999854
65,Trend Long,True,True,2305,1723941000000,2306,1723942800000,59678.93,59583.37022375082,60061.16910499673,95.5597762491815,159.26629374863583,2306,1723942800000,59583.37022375082,SL,0,0,-125.3992412491816
66,Trend Long,True,True,2309,1723948200000,2310,1723950000000,60125.99,60005.7135794603,60607.095682158775,120.27642053969386,200.46070089948978,2310,1723950000000,60005.7135794603,SL,0,0,-150.33941553969612
67,Trend Short,False,True,2371,1724059800000,2372,1724061600000,58006.6,58152.45983723212,57423.160651071514,145.8598372321221,243.0997287202035,2372,1724061600000,58152.45983723212,SL,0,0,-174.8631372321212
68,Trend Short,False,True,2379,1724074200000,2380,1724076000000,58200.0,58391.0907945665,57435.636821734,191.09079456650042,318.48465761083406,2380,1724076000000,58391.0907945665,SL,0,0,-220.19079456650215
69,Trend Long,True,True,2408,1724126400000,2409,1724128200000,60799.99,60611.624754935634,61553.45098025747,188.36524506436695,313.94207510727824,2410,1724130000000,60865.61,SL,2,1,35.220005000002615
70,Trend Long,True,True,2424,1724155200000,2425,1724157000000,60718.62,60567.75548318521,61322.07806725918,150.86451681479446,251.44086135799077,2426,1724158800000,60567.75548318521,SL,0,1,-181.2238268147923
71,Trend Long,True,True,2427,1724160600000,2428,1724162400000,60892.0,60726.87896084471,61552.48415662114,165.12103915528553,275.2017319254759,2428,1724162400000,60726.87896084471,SL,0,0,-195.5670391552886
72,Range Short,False,False,2484,1724263200000,2485,1724265000000,60449.99,60633.225906531974,59991.900233670065,183.2359065319737,366.4718130639474,2485,1724265000000,60633.225906531974,SL,0,0,-213.46090153197608
73,Range Short,False,False,2486,1724266800000,2487,1724268600000,61029.95,61223.724404101544,60545.51398974613,193.7744041015489,387.5488082030978,2487,1724268600000,61223.724404101544,SL,0,0,-224.28937910154667
74,Trend Long,True,True,2560,1724400000000,2561,1724401800000,61213.25,61073.57675826131,61771.942966954746,139.67324173868658,232.78873623114433,2562,1724403600000,61291.01225275377,SL,0,1,47.155627753767824
75,Trend Long,True,True,2569,1724416200000,2570,1724418000000,61146.59,61011.692738207166,61686.17904717131,134.89726179282815,224.8287696547136,2570,1724418000000,61011.692738207166,SL,0,0,-165.47055679283025
76,Trend Long,True,True,2572,1724421600000,2573,1724423400000,61829.49,61651.83917778468,62540.09328886129,177.65082221532228,296.0847036922038,2573,1724423400000,61651.83917778468,SL,0,0,-208.56556721532067
77,Trend Long,True,True,2616,1724500800000,2617,1724502600000,64179.85,64031.145733950696,64774.667064197194,148.7042660492991,247.8404434154985,2618,1724504400000,64031.145733950696,SL,0,1,-180.79419104930253
78,Trend Long,True,True,2624,1724515200000,2625,1724517000000,64284.84,64143.73522586599,64849.259096536036,141.10477413401014,235.17462355668357,2625,1724517000000,64143.73522586599,SL,0,0,-173.24719413400805
79,Trend Long,True,True,2628,1724522400000,2629,1724524200000,64400.0,64246.25676259784,65014.97294960865,153.74323740216224,256.23872900360374,2629,1724524200000,64246.25676259784,SL,0,0,-185.94323740215913
80,Trend Long,True,True,2686,1724626800000,2687,1724628600000,64746.91,64629.17678330552,65217.84286677792,117.73321669448022,196.2220278241337,2687,1724628600000,64629.17678330552,SL,0,0,-150.10667169448342
81,Trend Short,False,True,2764,1724767200000,2765,1724769000000,62033.8,62199.98079250185,61369.07682999263,166.18079250184377,276.96798750307295,2766,1724770800000,61851.01,SL,1,1,151.77310000000088
82,Trend Short,False,True,2778,1724792400000,2779,1724794200000,61422.44,61608.440482098216,60678.43807160716,186.00048209821108,310.00080349701847,2779,1724794200000,60678.43807160716,TP,0,0,713.2907083928413
83,Trend Short,False,True,2799,1724830200000,2800,1724832000000,58600.98,58818.31032183672,57731.65871265314,217.33032183671597,362.2172030611933,2800,1724832000000,58818.31032183672,SL,0,0,-246.63081183671457
84,Trend Short,False,True,2811,1724851800000,2812,1724853600000,59334.0,59557.09811114149,58441.607555434035,223.09811114149102,371.83018523581836,2812,1724853600000,59557.09811114149,SL,0,0,-252.7651111414876
85,Trend Short,False,True,2814,1724857200000,2815,1724859000000,58737.91,59006.35587470039,57664.126501198465,268.4458747003848,447.409791167308,2815,1724859000000,59006.35587470039,SL,0,0,-297.81482970038826
86,Trend Short,False,True,2816,1724860800000,2817,1724862600000,58417.0,58718.82376951207,57209.704921951736,301.8237695120664,503.039615853444,2817,1724862600000,58718.82376951207,SL,0,0,-331.0322695120697
87,Trend Short,False,True,2868,1724954400000,2869,1724956200000,59628.01,59851.04109333382,58735.88562666472,223.03109333382054,371.7184888897009,2870,1724958000000,59161.01,SL,2,1,437.185995
